trip_id,stop_id,arrival_time,departure_time,stop_sequence
rf:wsl:summer_wd:AB,rf:wsl:wk,00:00:00,00:00:00,1
rf:wsl:summer_wd:AB,rf:wsl:sl,00:08:00,00:08:00,2
rf:wsl:summer_wd:BA,rf:wsl:sl,00:00:00,00:00:00,1
rf:wsl:summer_wd:BA,rf:wsl:wk,00:08:00,00:08:00,2
rf:wsl:summer_we:AB,rf:wsl:wk,00:00:00,00:00:00,1
rf:wsl:summer_we:AB,rf:wsl:sl,00:08:00,00:08:00,2
rf:wsl:summer_we:BA,rf:wsl:sl,00:00:00,00:00:00,1
rf:wsl:summer_we:BA,rf:wsl:wk,00:08:00,00:08:00,2
rf:wsl:autumn:AB,rf:wsl:wk,00:00:00,00:00:00,1
rf:wsl:autumn:AB,rf:wsl:sl,00:08:00,00:08:00,2
rf:wsl:autumn:BA,rf:wsl:sl,00:00:00,00:00:00,1
rf:wsl:autumn:BA,rf:wsl:wk,00:08:00,00:08:00,2
