
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#

= Überblick über die ÖPNV-Linien des "Verkehrsverbund Tirol"

- Verweis auf die Datei mit den [[Austria/Nahverkehr_Tirol/Analyse/VVT-Linien|VVT-Linien]] im Wiki.
- Verweis auf mehr [/de/config.php?network=AT-VVT Informationen] bei PTNA.


== Züge

FV;train;Sonderfahrplan für den Fernverkehr Tirol;Landeck-Zams;Kufstein/Hochfilzen
==== 400er-Linien

401;bus;Innsbruck - Natters
404;bus;Innsbruck - Götzens - Birgitz - Axams - Grinzens
405;bus;Innsbruck - Natters - Mutters - Götzens - Völs/Axams - Grinzens
408;bus;Axams - Kematen i. T. - Völs - Innsbruck
411;bus;Axams Terminal Kögele - Axamer Lizum
430;bus;Seefeld i. T. - Weidach - Oberleutasch - Buchen
431;bus;Seefeld i. T. - Weidach - Unterleutasch - Mittenwald
432;bus;Seefeld i. T. - Reith b. S. - Leithen
432S;bus;Seefeld i. T. Birkenlift - Mittelschule
433;bus;Seefeld i. T. - Leutasch Weidach - Leutasch Gaistal
434;bus;Seefeld i. T. - Mösern - Telfs
435;bus;Scharnitz - Seefeld i. T. - Reith b. S. - Innsbruck
451;bus;Zirl - Hochzirl
456;bus;Telfs - Zirl - Innsbruck - Hall in Tirol - Wattens - Schwaz
461;bus;Innsbruck - Völs - Kematen i. T. - Oberperfuss
462;bus;Innsbruck - Völs - Kematen i. T. - Oberperfuss
463;bus;Innsbruck - Völs - Kematen i. T. - Ranggen - Oberperfuss
464;bus;Innsbruck - Völs - Kematen i. T. - Ranggen - Oberperfuss
469;bus;Mils - Hall in Tirol - Innsbruck - Völs

==== 500er-Linien

501;bus;Innsbruck - Rum - Thaur - Absam - Hall in Tirol
502;bus;Innsbruck - Rum - Thaur - Absam - Eichat
503;bus;Innsbruck - Rum - Thaur - Absam - Eichat - Hall in Tirol
504;bus;Innsbruck - Rum - Hall in Tirol - Mils
505;bus;Innsbruck - DEZ - Hall in Tirol
590;bus;Innsbruck - Schönberg i. St. - Mieders - Fulpmes - Neustift i. St.

==== 600er-Linien
   
633;bus;Strass i. Z. - Bruck a. Z. - Schlitters - Fügen

==== 900er-Linien

940;bus;Lienz - Debant - Dölsach - Nikolsdorf
941;bus;Lienz - Peggetz - Nußdorf - Debant - Lavant / Nikolsdorf
942;bus;Lienz - Debant - Dölsach - Iselsberg - Winklern i. M.
950X;bus;Lienz - Huben - Matrei i. O. - Felbertauern - Mittersill - Kitzbühel
951;bus;"Lienz - Huben - Matrei i. O. - Prägraten a. G. Hinterbichl (""Ströden"" nur im Sommer/only in summer)"
952;bus;"Huben - Kals a. G. Taurer (""Lucknerhaus"" nur im Sommer/only in summer)"
953;bus;"Huben - Hopfgarten - St. Veit - St. Jakob i. D. (""Staller Sattel"" nur im Sommer/only in summer))"
954;bus;Lienz - Oberdrum - Oberlienz - Ainet - Schlaiten
955;bus;Lienz/Huben - Matrei i.O. Korberplatz - Tauernhaus (nur im Sommer/only in summer)
960X;bus;Lienz - Sillian - Innsbruck
961;bus;Lienz - Leisach - Thal - Mittewald - Abfaltersbach - Sillian
962;bus;Lienz - Leisach - Assling - Anras - Abfaltersbach
965;bus;St. Lorenzen i. L. - Maria Luggau - Obertilliach - Kartitsch - Sillian
966;bus;Innervillgraten - Außervillgraten - Sillian
998;bus;St. Veit im Defereggen.: Innerstandsbrücke - Egg

==== 4000er-Linien

4000;bus;Kitzbühel - St. Johann i. T. - Schwendt - Kössen - Reit i. W.
4004;bus;Kitzbühel - Kirchberg i. T. - Aschau
4006;bus;Kitzbühel - Reith b. Kb. - Going a. W. K. - Ellmau
4010;bus;Kitzbühel - Jochberg - Pass Thurn - Mittersill
4012;bus;Kitzbühel - St. Johann i. T. - Waidring - Lofer
4026;bus;Kufstein - Schwoich - Bad Häring - Kirchbichl - Wörgl
4030;bus;Kufstein - Ebbs - Niederndorf - Walchsee - Kössen (Nightliner siehe 730N)
4036;bus;Kufstein - Ebbs - Niederndorf - Erl/Niederndorferberg
4046;bus;Kufstein - Thiersee - Hinterthiersee - Landl
4051;bus;Kitzbühel - Westendorf - Hopfgarten i. Br. - Wörgl
4055;bus;Kufstein - Schaftenau - Niederbreitenbach - Kirchbichl - Wörgl
4057;bus;Kelchsau - Hopfgarten i. Br.
4060;bus;Wörgl - Itter - Söll - Ellmau - St. Johann i. T.
4064;bus;Wörgl - Wildschönau (Niederau - Oberau - Mühltal - Auffach)
4068;bus;Kufstein - Schaftenau - Niederbreitenbach - Mariastein - Wörgl
4070;bus;Brixlegg - Radfeld - Kramsach - Brandenberg - Aschau
4074;bus;Radfeld/Jenbach - Brixlegg - Reith i. A. - Alpbach - Inneralpbach
4080;bus;Jenbach - Wiesing - Maurach - Achenkirch
4094;bus;Mayrhofen - Zell a. Z. - Hainzenberg - Gerlos - Königsleiten

==== 4100er-Linien

4100;bus;Mayrhofen - Brandberg
