
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Kärnten (Kärntner Linien)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr Kärnten/Analyse/VKG-Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VKG Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
# ref;type;comment;from;to;operator;gtfs-feed;gtfs-route-id;gtfs-release-date
==Schiene ÖBB
223;train;Spittal-Millstättersee - Lienz - San Candido
S1;train;Pusarnitz - Villach - Klagenfurt - Wolfsberg;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S1-K-j26-1
S2;train;Villach - Feldkirchen - St. Veit an der Glan;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S2-K-j26-1
S3;train;Weizelsdorf - Klagenfurt Hbf;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S3-K-j26-1
S4;train;Villach Hbf - Hermagor;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S4-K-j26-1
S5;train;Villach Hbf - Rosenbach;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S5-K-j26-1
S6;train;Spittal-Millstättersee - Lienz;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S6-K-j26-1
S7;train;Friesach - St.Veit a.d.Glan - Klagenfurt;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;1-S7-K-j26-1
REX1;train;Klagenfurt Hbf - Wolfsberg;;;ÖBB-Personenverkehr AG;AT-Eisenbahn;2-RX1-K-j26-1

==S-Busse
X1|SB1;bus;1 Klagenfurt - Griffen;;;Österreichische Postbus AG;AT-VKG;at:ktn:700:
X2|SB2;bus;2 Ferlach - Rosental - Villach;;;Österreichische Postbus AG;AT-VKG;at:ktn:400:;2025-12-16
X3|SB3;bus;3;;;Österreichische Postbus AG;AT-VKG;at:ktn:540:;2025-12-16
X4|SB4;bus;4 Klagenfurt - Feldkirchen;;;Mobilbüro & Verkehrsmanagement GmbH;AT-VKG;at:ktn:240:;2025-12-16

==Klagenfurt
===Stadtbusse 
A;bus;Annabichl – Liberogasse/FH Kärnten;;;Klagenfurt Mobil GmbH;AT-VKG;at:ktn:46:;
B;bus;Viktring – Welzenegg;;;Klagenfurt Mobil GmbH;AT-VKG;at:ktn:47:;
C;bus;Klagenfurt Hbf - 	Klagenfurt West/Strandbad;;;Klagenfurt Mobil GmbH;AT-VKG;at:ktn:48:

1;bus;Bus 1;;;Klagenfurt Mobil GmbH;AT-VKG;at:ktn:1:;
2;bus;Bus 1;;;Klagenfurt Mobil GmbH;AT-VKG;at:ktn:2:;
