
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Steiermark (Verbund Linie)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Steiermark/Analyse/VVSt-Linien|VVSt Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VVSt Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
== S-Bahn
N5;bus;;;;Graz Linien;AT-VVSt;at:stv:1005:
N6;bus;;;;Graz Linien;AT-VVSt;at:stv:1006:
N7;bus;;;;Graz Linien;AT-VVSt;at:stv:1007:
N8;bus;;;;Graz Linien;AT-VVSt;at:stv:1008:
N9;bus;;;;Graz Linien;AT-VVSt;at:stv:1009:
-
#
===Schloßbergbahn
SBB;funicular;;;;Graz Linien;AT-VVSt;at:stv:90:
-
#
== Regionalbusse Steiermark
=== Bereich 1xx
100;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:100:
110;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:110:
111;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:111:
120;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:120:
121;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:121:
125;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:125:
130;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:130:
140;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:140:
167;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:167:
170;bus;;;;Mürztaler Verkehrsgesellschaft mbH;AT-VVSt;at:stv:170:
171;bus;;;;Mürztaler Verkehrsgesellschaft mbH;AT-VVSt;at:stv:171:
173;bus;;;;Mürztaler Verkehrsgesellschaft mbH;AT-VVSt;at:stv:173:
175;bus;;;;Mürztaler Verkehrsgesellschaft mbH;AT-VVSt;at:stv:175:
180;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:180:
181;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:181:
182;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:182:
183;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:183:
184;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:184:
185;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:185:
187;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:187:
189;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:1189:
189;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:189:
197;bus;;;;Mürztaler Verkehrsgesellschaft mbH;AT-VVSt;at:stv:197:
198;bus;;;;Mürztaler Verkehrsgesellschaft mbH;AT-VVSt;at:stv:198:

=== Bereich 2xx
X20;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:9020:
200;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:200:
201;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:201:
202;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:202:
203;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:203:
204;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:204:
205;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:205:
206;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:206:
207;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:207:
208;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:208:
209;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:209:
215;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:215:
216;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:216:
230;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:230:
234;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:234:
237;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:237:
240;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:240:
241;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:241:
250;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:250:
260;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:260:
=== Bereich 3xx
X30;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:9030:
X31;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:9031:
300;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:1300:
300;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:300:
301;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:301:
302;bus;Teilstrecke: Pinggau - Friedberg - (Schwaighof -) Ehrenschachen - Dechantskirchen - Kroisbach - Kroisegg;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:1302:
302;bus;Teilstrecke: Pinggau - Schäffernsteg - (Karnegg -) - Bärnegg - Sinnersdorf - - Schäffernsteg - Elsenau - Schäffern - Knollen - Guggendorf - Zöbern;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:2302:
302;bus; Friedberg - Pinggau - Schäffern - Knolln - Guggendorf - Zöbern (NÖ);;;Gruber GmbH & Co KG;AT-VVSt;at:stv:302:
302;bus;Teilstrecke: (Friedberg -) Pinggau - Schaueregg - Wiesenhöf - Spital bei Tauchen - Pinggau (- Friedberg);;;Gruber GmbH & Co KG;AT-VVSt;at:stv:3302:
303;bus;Kronegg - Köppel / Festenburg - Bruck/Lafnitz - Sankt Lorenzen/Wechsel - Wilfing - Sankt Lorenzen/Wechsel;;;Denise Putz;AT-VVSt;at:stv:1303:
303;bus;Teilstrecke: Dechantskirchen - Hohenau - Dechantskirchen;;;Franz Binder;AT-VVSt;at:stv:2303:
303;bus;Sankt Lorenzen am Wechsel - Auerbach - Höttling - Burgfeld - Schlag - Thalberg - Dechantskirchen;;;Franz Binder;AT-VVSt;at:stv:303:
304;bus;2024-12-15 - 2025-12-13: 304;;;RegioBus Steiermark;AT-VVSt;at:stv:304:
306;bus;Vorau - Puchegg - Erdwegen (-Steinfeld - Kleinlugnitz) - Grafendorf;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:306:
306;bus;Teilstrecke: Vorau - Vornholz - Lembach - Schachen - Puchegg;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:5306:
306;bus;Teilstrecke: Grafendorf bei Hartberg - Kleinerdwegen;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:6306:
306;bus;Teilstrecke: Grafendorf - Stambach - Pongratzen - Zeilerviertel - Pongratzen - Stambach - Grafendorf;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:9306:
307;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:307:
308;bus;;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:308:
