
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#

# Überblick über die ÖPNV-Linien des "Salzburger Verkehrsverbund" (SVV)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Salzburg/Analyse/SVV-Linien|SVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-SVV Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
== Bahnen
=== Regional-Express
53;bus;Citybus Sankt Johann;Postamt;Hub;Österreichische Postbus AG;AT-SVV;at:svv:385300:
55;bus;Citybus Bischofshofen;Südtiroler Straße;Mitterberghütten;Hogger mobil;AT-SVV;at:svv:385500:

==== Stadtverkehr Saalfelden
60;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:386000:
61;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:386100:
62;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:386200:

==== Stadtverkehr Zell am See
70;bus;;Thumersbach;Bruckberg;Hogger mobil;AT-SVV;at:svv:387000:;
71;bus;;Postplatz;Schmittenhöhebahn;Hogger mobil;AT-SVV;at:svv:387100:;
73;bus;Bürgerbus Zell am See;;;Österreichische Postbus AG;AT-SVV;at:svv:343700:;

=== Regionalbusse
==== Linien 1xx
110;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:311000:
111;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:311100:
112;bus;;;;SAD Nahverkehr AG;AT-SVV;at:svv:311200:
119;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:311900:
120;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:312000:
120;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:312001:
121;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:312100:
125;bus;;;;Hogger mobil;AT-SVV;at:svv:312500:
126;bus;;;;Hogger mobil;AT-SVV;at:svv:312600:
129;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:312900:
130;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:313000:
131;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:313100:
133;bus;;;;Fischwenger;AT-SVV;at:svv:313300:
135;bus;;;;Fischwenger;AT-SVV;at:svv:313500:
140;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:314000:
141;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:314100:
142;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:302000:
143;bus;;;;Hogger mobil;AT-SVV;at:svv:314300:
147;bus;;;;Fischwenger;AT-SVV;at:svv:314700:
148;bus;;;;Fischwenger;AT-SVV;at:svv:314800:
149;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:314900:
150;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:315000:
151;bus;;;;Albus;AT-SVV;at:svv:15100:
152;bus;;;;SAD Nahverkehr AG;AT-SVV;at:svv:315200:
153;bus;;;;SAD Nahverkehr AG;AT-SVV;at:svv:315300:
154;bus;;;;Hogger mobil;AT-SVV;at:svv:315400:
155;bus;;;;Fischwenger;AT-SVV;at:svv:315500:
156;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:315600:
157;bus;;;;Fischwenger;AT-SVV;at:svv:315700:
160;bus;;;;Breuss;AT-SVV;at:svv:316000:
165;bus;;;;Breuss;AT-SVV;at:svv:316500:
170;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:317000:
170;bus;;;;Albus;AT-SVV;at:svv:317002:
175;bus;;;;Krautgartner-Bus;AT-SVV;at:svv:317500:
180;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:318000:
181;bus;;;;Albus;AT-SVV;at:svv:318100:

==== Linien 2xx
260;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:326000:
270;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:327000:
280;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:328000:

==== Linien 4xx
450;bus;;;;Breuss;AT-SVV;at:svv:345000:
451;bus;;;;Breuss;AT-SVV;at:svv:345100:
452;bus;;;;Breuss;AT-SVV;at:svv:345200:
460;bus;;;;Breuss;AT-SVV;at:svv:346000:
470;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:347000:
471;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:347100:

==== Linien 5xx
502;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:350200:
508;bus;;;;Neu Touristik;AT-SVV;at:svv:350800:
509;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:350900:
510;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:351000:
517;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:351700:
520;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:352000:
521;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:352100:
522;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:352200:
523;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:352300:
530;bus;;;;Hogger mobil;AT-SVV;at:svv:353000:
532;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:353200:
540;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:354000:
541;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:354100:
550;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:355000:
552;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:355200:
553;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:355300:
554;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:355400:
555;bus;;;;H. Lackner Gastein;AT-SVV;at:svv:355500:
557;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:355700:
558;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:355800:
559;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:355900:
562;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:356200:
564;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:356400:
566;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:356600:
567;bus;;;;H. Lackner Gastein;AT-SVV;at:svv:356700:
569;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:356900:
580;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:358000:
581;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:358100:
582;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:358200:
590;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:359000:
593;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:359300:

==== Linien 6xx
609;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:360900:
620;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:362000:
621;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:362100:
631;bus;;;;Hogger mobil;AT-SVV;at:svv:363100:
640;bus;;;;Krautgartner-Bus;AT-SVV;at:svv:364000:
650;bus;;;;Krautgartner-Bus;AT-SVV;at:svv:365000:
660;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:366000:
670;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:367000:
672;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:367200:
673;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:367300:
680;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:368000:
690;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:369000:

==== Linien 7xx
700;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:370000:
710;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:371000:
712;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:371200:
720;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:372000:
721;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:372100:
730;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:373000:
740;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:374000:
750;bus;;;;Österreichische Postbus AG;AT-SVV;at:svv:375000:
